Time,Country_Name,Per_capita_GDP_rate,Per_capita_GDP,Gross_domestic_productA_at_market_prices,Population_growth_rate,Male_population,Female_population,Literacy_rate_male,Literacy_rate_female,Government_education_expenditure_as_a_percentage_of_GDP,Government_expenditure_on_secondary_and_higher_vocational_education_as_a_percentage_of_GDP,Total_population,Higher_education_enrollment,Higher_education_enrollment_rate,Educational_Fund ,Enrollment_Rate,Primary_school_to_university_total_enrollment_rate,Gross_enrolment_ratio
2011,Austria,High,48011.71,4.03E+11,0.0034,0.4878,0.5122,0,0,0.0559,0,8391643,400158,0.0477,High,High,5.14636751,2.53266332
2008,Austria,High,48027.52,4.00E+11,0.0031,0.4867,0.5133,0,0,0.0526,0,8321496,284791,0.0342,High,High,5.67768023,2.54773869
2006,Canada,High,48035.04,1.56E+12,0.008,0.4958,0.5042,0,0,0,0,32570505,0,0,Low,Low,5.77868408,2.56281407
2012,Austria,High,48149.72,4.06E+11,0.0046,0.4882,0.5118,0,0,0.0548,0.0073,8429991,413482,0.049,High,High,5.47321702,2.57788945
2010,United States,High,48373.88,1.50E+13,0.0084,0.4939,0.5061,0,0,0.0542,0,309348193,20427709,0.066,High,Low,5.20016001,2.59296482
2011,Singapore,High,48447.68,2.51E+11,0.0208,0.4933,0.5067,0.9871,0.9871,0.0307,0,5183688,236891,0.0457,Meddle,Low,5.91690884,2.6080402
2011,Canada,High,48456.96,1.66E+12,0.0099,0.4961,0.5039,0,0,0.0527,0,34342780,0,0,High,High,5.99917087,2.62311558
2008,Canada,High,48510.57,1.61E+12,0.0108,0.496,0.504,0,0,0.0464,0,33245773,0,0,High,Low,5.91794568,2.63819095
2007,Canada,High,48552.7,1.60E+12,0.0097,0.4959,0.5041,0,0,0.0478,0,32887928,0,0,High,Low,5.96776388,2.65326633
2005,Australia,High,48702.73,9.93E+11,0.0132,0.4991,0.5009,0,0,0.0791,0,20394800,1024589,0.0502,High,High,5.72667396,2.66834171
2012,Canada,High,48724.25,1.69E+12,0.0118,0.4961,0.5039,0,0,0,0,34750545,0,0,Low,Low,5.35464611,2.68341709
2005,United States,High,48755.62,1.44E+13,0.0092,0.4935,0.5065,0,0,0,0,295516599,17272044,0.0584,Low,High,5.59837037,2.69849246
2011,United States,High,48783.47,1.52E+13,0.0075,0.4941,0.5059,0,0,0.0522,0,311663358,21016126,0.0674,High,Low,5.43579282,2.71356784
2012,Singapore,High,49103.71,2.61E+11,0.0245,0.4934,0.5066,0.9878,0.9626,0.0311,0,5312437,243546,0.0458,Meddle,Low,5.41251177,2.72864322
2013,Canada,High,49355.1,1.74E+12,0.0116,0.4961,0.5039,0,0,0,0,35155451,0,0,Low,Low,6.00338437,2.74371859
2008,United States,High,49364.64,1.50E+13,0.0095,0.4937,0.5063,0,0,0,0,304093966,18248124,0.06,Low,High,6.33458204,2.75879397
2006,Australia,High,49418.69,1.02E+12,0.0148,0.4993,0.5007,0,0,0.0474,0,20697900,1040153,0.0503,High,High,5.82991739,2.77386935
2012,United States,High,49497.59,1.55E+13,0.0075,0.4942,0.5058,0,0,0.0519,0,313998379,20994113,0.0669,High,Low,5.95332766,2.78894472
2009,Sweden,High,49554.34,4.61E+11,0.0085,0.4977,0.5023,0,0,0.0686,0,9298515,422580,0.0454,High,High,5.64753321,2.8040201
2006,United States,High,49575.4,1.48E+13,0.0096,0.4936,0.5064,0,0,0,0,298379912,17487476,0.0586,Low,High,5.70711144,2.81909548
2013,United States,High,49976.63,1.58E+13,0.007,0.4944,0.5056,0,0,0.0494,0,316204908,19972623,0.0632,High,High,6.2477224,2.83417085
2007,United States,High,49979.53,1.51E+13,0.0095,0.4937,0.5063,0,0,0,0,301231207,17758870,0.059,Low,High,5.74006391,2.84924623
2005,Sweden,High,49996.18,4.51E+11,0.004,0.4959,0.5041,0,0,0.0656,0,9029572,426723,0.0473,High,High,6.35713712,2.86432161
2014,Canada,High,50067.04,1.78E+12,0.011,0.496,0.504,0,0,0,0,35544564,0,0,Low,Low,6.16770135,2.87939698
2013,Singapore,High,50731.3,2.74E+11,0.0162,0.4936,0.5064,0.9885,0.9644,0.0291,0,5399162,255348,0.0473,Meddle,Low,6.10143567,2.89447236
